,nn,length,r1,r2,r3,r4,r5
0,12,1000.0,444.68340253829956,495.188111782074,498.6660978794098,496.13729596138,495.94212794303894
1,12,2000.0,1003.1845769882202,1003.0684871673584,1011.4122135639191,1005.5942332744598,1007.9197797775269
2,12,2500.0,1257.4942338466644,1252.9264178276062,1252.8929226398468,1271.3406648635864,1266.1960985660553
3,12,3000.0,1510.073049545288,1516.9539449214935,1514.9436104297638,1514.8663370609283,1516.3416509628296
4,12,3500.0,1783.3094837665558,1783.494756937027,1789.1372401714325,1774.6029303073883,1783.4013698101044
5,12,4000.0,2038.1389646530151,2037.924144268036,2027.9341509342194,2046.3857243061066,2047.1674847602844
6,24,1000.0,505.9746263027191,506.74787402153015,510.1753544807434,501.1750957965851,510.9354329109192
7,24,2000.0,1042.3227725028992,1033.5636639595032,1024.5965790748596,1033.608372926712,1036.4803445339203
8,24,2500.0,1304.2559752464294,1300.2377161979675,1301.474931716919,1292.27681016922,1308.8809232711792
9,24,3000.0,1575.351463317871,1574.8198142051697,1594.9822561740875,1582.1773931980133,1577.833972454071
10,24,3500.0,1852.5633599758148,1863.781557559967,1849.2999875545502,1865.6862556934357,1846.7866706848145
11,24,4000.0,2086.4177248477936,2127.7432191371918,2148.078418970108,2133.153429746628,2136.81932926178
12,48,1000.0,529.1708054542542,530.6732153892517,529.3035352230072,530.2506015300751,531.5118956565857
13,48,2000.0,1040.7478013038635,1103.4524250030518,1104.3898859024048,1091.1564273834229,1112.6775789260864
14,48,2500.0,1401.1734883785248,1378.4581325054169,1401.9318406581879,1407.1166732311249,1377.4463951587677
15,48,3000.0,1720.412832736969,1694.4601168632507,1712.1588644981384,1721.0261070728302,1719.3687841892242
16,48,3500.0,2046.7748658657074,2046.0838868618011,2037.6093263626099,2036.0526814460754,2041.4500963687897
17,48,4000.0,2378.1730279922485,2369.5429759025574,2375.4660682678223,2376.688357114792,2366.278612136841
18,96,1000.0,507.51954650878906,509.1141924858093,512.2867472171783,511.2087731361389,511.65131735801697
19,96,2000.0,1097.0792922973633,1108.3882656097412,1099.5168414115906,1103.2793338298798,1112.6422135829926
20,96,2500.0,1434.2310593128204,1436.4081327915192,1430.9983897209167,1425.9087011814117,1430.7563259601593
21,96,3000.0,1779.8696241378784,1769.8118860721588,1768.8663728237152,1735.4099457263947,1709.1676404476166
22,96,3500.0,2064.0789833068848,2098.441712141037,2110.046981573105,2156.573310613632,2161.2042207717896
23,96,4000.0,2540.3473403453827,2540.540610551834,2535.1481845378876,2552.693334579468,2549.587287425995
24,120,1000.0,542.5432789325714,536.0119514465332,536.3192865848541,533.7343471050262,532.1170473098755
25,120,2000.0,1178.4396851062775,1171.579556465149,1182.158497095108,1168.111334323883,1176.7287759780884
26,120,2500.0,1544.4174242019653,1540.2179226875305,1539.0568063259125,1544.6733434200287,1538.7886085510254
27,120,3000.0,1937.2093999385834,1923.8218495845795,1925.2497963905334,1929.593936920166,1915.6280360221863
28,120,3500.0,2334.058468103409,2340.5880103111267,2356.6694090366364,2350.3607861995697,2332.8668472766876
29,120,4000.0,2761.0278050899506,2779.0901262760162,2752.2771887779236,2772.1809742450714,2781.702224969864
30,240,1000.0,753.4207110404968,819.3506236076355,761.6316695213318,814.2953584194183,803.3384907245636
31,240,2000.0,1827.6664590835571,1650.8721461296082,1704.464623451233,1663.1510293483734,1664.9076154232025
32,240,2500.0,2199.669126033783,2445.789698123932,2419.33256983757,2414.0061395168304,2448.2748453617096
33,240,3000.0,3107.522456884384,3096.240091085434,3065.4423909187317,3133.9804153442383,3060.44229054451
34,240,3500.0,3769.048406600952,3472.342959880829,3738.661993265152,3623.848062515259,3827.4191901683807
35,240,4000.0,4524.601208686829,4606.372300863266,4515.629869222641,4567.488440513611,4580.342596530914
36,360,1000.0,1195.442522764206,1234.5218667984009,1385.884429216385,1248.6418273448944,1362.2930693626404
37,360,2000.0,2989.5612936019897,2687.5388853549957,2718.887514591217,2673.412541627884,2708.7191774845123
38,360,2500.0,3555.275897026062,3577.3228318691254,3566.390821456909,3695.601163625717,3609.5067551136017
39,360,3000.0,4670.429367780685,4568.711157083511,4443.866492271423,4483.5171687603,4418.5052716732025
40,360,3500.0,5442.640186786652,5431.995005607605,5456.286707639694,5431.508670568466,5476.822356939316
41,360,4000.0,6616.464172124863,6595.989235877991,6596.623520612717,6598.77462220192,6768.628877878189
42,480,1000.0,1858.7472174167633,1872.3216519355774,1877.0528967380524,1872.2584218978882,1875.9240834712982
43,480,2000.0,3995.588725090027,3754.219480752945,3688.363076686859,3757.8381361961365,3706.7344074249268
44,480,2500.0,4849.877401590347,4887.139452457428,4986.401965856552,4916.278752088547,4836.072421789169
45,480,3000.0,6208.898412227631,6184.082102298737,6159.314952135086,6130.048252105713,6178.495386362076
46,480,3500.0,7565.715838193893,7554.134273529053,7552.890394449234,7571.214739084244,7542.947093009949
47,480,4000.0,9062.302182674408,9156.096911668777,9044.189973831177,9131.146527528763,9104.80560541153
